Rankthisweek value,Ranklastweek value,Playername link,Rounds number,Avg number,Total number,Totaldrives number
T175,176,Ben Crane,62,278.7,"32,329",116
T175,172,Peter Malnati,65,278.7,"36,225",130
178,177,Brendon Todd,53,278.4,"29,506",106
T179,T178,Ken Duke,42,278,"23,352",84
T179,T178,Kevin Na,66,278,"30,575",110
181,180,Robert Allenby,39,277.9,"21,680",78
182,181,Jason Bohn,49,277.5,"27,197",98
T183,T182,D.H. Lee,41,277.2,"22,728",82
T183,T182,Tim Wilkinson,56,277.2,"31,048",112
185,184,Steve Stricker,33,276,"18,215",66
T186,T186,Zac Blair,76,275.1,"39,608",144
T186,188,K.J. Choi,57,275.1,"31,356",114
188,T186,Jerry Kelly,54,275,"27,497",100
189,189,Dicky Pride,39,274.6,"21,421",78
190,190,Brian Stuard,36,274.1,"19,736",72
191,192,Billy Hurley III,36,273.5,"19,691",72
192,191,Abraham Ancer,34,272.6,"18,534",68
193,193,Justin Leonard,32,271.5,"17,379",64
194,194,Mark Wilson,50,271.4,"27,136",100
195,195,Colt Knost,72,271.2,"36,885",136
196,196,Jon Curran,79,270.4,"40,564",150
197,197,David Toms,50,269.4,"26,940",100
198,198,Darron Stiles,32,262.7,"16,815",64
